EmployeeID,ShiftStart,TaskCategory,StartTime,EndTime,Duration_Hours,ShiftEnd
EMP0001,08:00,Project and Task Execution,08:00,11:20,03:20,17:00
EMP0001,08:00,Misc,11:20,11:22,00:02,17:00
EMP0001,08:00,Planning and Strategic Tasks,11:22,11:48,00:26,17:00
EMP0001,08:00,Misc,11:48,11:50,00:02,17:00
EMP0001,08:00,Collaboration and Meetings,11:50,13:48,01:58,17:00
EMP0001,08:00,Misc,13:48,13:55,00:07,17:00
EMP0001,08:00,Documenting and Process Improvement,13:55,15:15,01:20,17:00
EMP0001,08:00,Misc,15:15,15:25,00:10,17:00
EMP0001,08:00,Learning and Growth + Research and Development,15:25,16:04,00:39,17:00
EMP0001,08:00,Misc,16:04,16:12,00:08,17:00
EMP0001,08:00,"Administrative, operative, procurment, travel related",16:12,16:26,00:14,17:00
EMP0002,08:00,Project and Task Execution,08:00,11:01,03:01,17:00
EMP0002,08:00,Misc,11:01,11:14,00:13,17:00
EMP0002,08:00,Planning and Strategic Tasks,11:14,11:35,00:21,17:00
EMP0002,08:00,Misc,11:35,11:39,00:04,17:00
EMP0002,08:00,Collaboration and Meetings,11:39,13:44,02:05,17:00
EMP0002,08:00,Misc,13:44,13:55,00:11,17:00
EMP0002,08:00,Documenting and Process Improvement,13:55,15:10,01:15,17:00
EMP0002,08:00,Misc,15:10,15:25,00:15,17:00
EMP0002,08:00,Learning and Growth + Research and Development,15:25,16:05,00:40,17:00
EMP0002,08:00,Misc,16:05,16:08,00:03,17:00
EMP0002,08:00,"Administrative, operative, procurment, travel related",16:08,16:28,00:20,17:00
EMP0003,10:00,Project and Task Execution,10:00,14:12,04:12,19:00
EMP0003,10:00,Misc,14:12,14:21,00:09,19:00
EMP0003,10:00,Planning and Strategic Tasks,14:21,14:46,00:25,19:00
EMP0003,10:00,Misc,14:46,14:46,00:00,19:00
EMP0003,10:00,Collaboration and Meetings,14:46,16:43,01:57,19:00
EMP0003,10:00,Misc,16:43,16:46,00:03,19:00
EMP0003,10:00,Documenting and Process Improvement,16:46,17:50,01:04,19:00
EMP0003,10:00,Misc,17:50,18:05,00:15,19:00
EMP0003,10:00,Learning and Growth + Research and Development,18:05,18:37,00:32,19:00
EMP0003,10:00,Misc,18:37,18:51,00:14,19:00
EMP0003,10:00,"Administrative, operative, procurment, travel related",18:51,19:09,00:18,19:00
EMP0004,08:00,Project and Task Execution,08:00,12:16,04:16,17:00
EMP0004,08:00,Misc,12:16,12:30,00:14,17:00
EMP0004,08:00,Planning and Strategic Tasks,12:30,12:54,00:24,17:00
